sim#;thickness;TransportTimeAfterHeating;EnforcedTemperatureOfEntireSheet;QuenchingTimeInTool;QuenchingForce;spacing;DefaultToolTemperature;HARDNESS P1;HARDNESS P2;HARDNESS P3;THICKNESS P1;THICKNESS P2;THICKNESS P3;RUECKFEDERUNG P4;RUECKFEDERUNG P5;;;| AutoForm-SIGMA: Scatter Data Dump (MIME: text/csv)
32;1.487707847;12.92928483;908.9745172;9.08567276;1198629.137;0.995935549;82.5441394;452;454.3333435;460;1.339192748;1.458984375;1.466145873;-0.070125576;0.023057092;;;
33;1.465447737;11.00009881;933.4645613;9.07342233;1226156.28;1.939194849;273.0054981;464.3333435;446.6666565;468;1.313476563;1.436848998;1.443684936;-0.371477285;-0.373530309;;;
34;1.453254463;19.31016117;942.3732412;5.170702363;1133665.262;0.126642723;146.2604447;420.6666565;438.6666565;446;1.312174439;1.428385377;1.432617188;-0.023126942;0.035616948;;;
35;1.50717341;21.99194237;938.700559;3.958779628;1610096.136;1.094920337;164.486663;418;416.6666565;422.3333435;1.359375;1.482096314;1.485351563;-0.188646787;-0.144284408;;;
36;1.506578706;22.06678364;917.0007228;6.367584066;1417705.326;1.464477595;245.0530208;387.6666565;376;385;1.355794311;1.479166627;1.483398438;-0.174358721;-0.157213785;;;
37;1.467832031;16.99670776;931.6429574;8.669012802;697601.5434;0.475557365;281.3572122;411.6666565;426;438.3333435;1.321289063;1.442057252;1.445963502;-0.337111404;-0.339316192;;;
38;1.527554647;21.01397903;934.1501789;7.167903424;863068.9742;0.713682349;141.1564846;423.3333435;416.6666565;425;1.373697877;1.500651002;1.503255248;0.017403446;0.037805377;;;
39;1.502896378;11.34187888;912.9405058;6.879523294;1905053.233;0.130476223;99.35630103;470.6666565;469.6666565;474;1.349609375;1.465494752;1.480143189;-0.031184993;-0.007578394;;;
40;1.539286758;24.33585959;932.7440522;6.504672604;1212836.722;1.502546079;274.2556972;390;375;385;1.385091186;1.51171875;1.515299439;-0.230074543;-0.20614744;;;
41;1.503591189;15.99144022;911.7657106;3.695534181;1701102.259;1.308321162;201.0103907;415.3333435;429;437.3333435;1.355143189;1.477213502;1.482421875;-0.348895412;-0.278286021;;;
42;1.517369102;12.97498217;902.4002735;9.903842073;1649395.586;0.212234175;189.758414;440.6666565;444.6666565;451;1.365559936;1.485026002;1.494140625;-0.076752113;-0.048406691;;;
43;1.484000338;23.45122755;922.2422985;6.163697469;809567.5896;1.555560671;255.6026699;386.6666565;364.6666565;374.6666565;1.3359375;1.459309936;1.461914063;-0.183694632;-0.17967775;;;
44;1.475407679;12.01571676;926.5797847;4.720138059;1263040.127;1.426270908;182.1809307;473;469;477;1.327148438;1.448567748;1.452148438;-0.292598003;-0.248144386;;;
45;1.478901495;23.4698697;909.1981145;7.405084782;1659687.639;1.467447154;237.6009522;360.3333435;352.6666565;358;1.333658814;1.453125;1.457682252;-0.060104379;-0.024684345;;;
46;1.508293897;24.00346664;916.499584;5.519132975;1181806.058;0.909668059;155.8981676;395.3333435;367.3333435;372;1.361002564;1.483398438;1.486002564;-0.040887133;-0.007061166;;;
47;1.54705588;15.40092226;900.8147324;4.1776965;545129.3359;1.502781288;278.748424;385.6666565;404.6666565;414.3333435;1.383463502;1.516601563;1.521809936;-0.359454774;-0.206425519;;;
48;1.524793361;10.28537813;926.268497;6.146731422;695865.4328;1.804132639;113.7315732;477;470;477;1.360351563;1.491210938;1.499674439;-0.01028585;-0.04883769;;;
49;1.491315139;15.53347172;924.1884271;2.392857141;1944902.954;0.862617888;89.72924386;443.6666565;453.6666565;458;1.341471314;1.463216186;1.470052123;-0.249290077;-0.21803074;;;
50;1.51619909;24.48940695;934.2597272;5.104936384;527000.8138;1.820977249;186.4962261;391.3333435;383.6666565;391.3333435;1.363606811;1.489257813;1.492513061;-0.063828092;-0.064353499;;;
51;1.470867513;17.65499318;936.7064605;8.707210815;787202.3641;1.624579792;289.1143367;413.6666565;426.3333435;440;1.326171875;1.444010377;1.447916627;-0.344877474;-0.349009219;;;
52;1.516457958;19.97560427;944.292254;2.361214596;772229.6445;1.631191761;177.1493948;417;435;443.6666565;1.367838502;1.4921875;1.493815064;-0.38964625;-0.311456972;;;
53;1.471997746;10.52869179;902.1398604;7.243073467;856495.6635;0.616781886;260.4178936;444.3333435;421;448;1.322591186;1.444335938;1.449869752;-0.364785939;-0.352988369;;;
54;1.534448871;20.94251611;927.3722361;9.494764702;1806197.618;0.156522842;254.2922369;411;406.6666565;411;1.383138061;1.503255248;1.51171875;-0.133732043;-0.111101452;;;
55;1.469065947;11.8418115;903.7678648;3.991703752;750758.238;1.140706979;133.4255952;451.6666565;449.3333435;459;1.321940064;1.441731811;1.446940064;-0.213465347;-0.224280952;;;
56;1.492772094;23.60432406;931.6823212;4.103708267;1205803.842;0.353936054;146.7530041;397.3333435;390.3333435;397;1.347330689;1.466796875;1.471028686;-0.070801046;-0.056601464;;;
57;1.465211146;17.43668536;938.8638193;3.556511145;1713581.931;1.3256515;160.3049342;437.6666565;452.3333435;458;1.319010377;1.440104127;1.444010377;-0.298917897;-0.23755263;;;
